,term,equation,coef
0,L1.F1,F1,-0.4131112263383622
1,L1.F2,F1,0.17302606085003722
2,L1.F3,F1,0.301916399048742
3,L1.curvature,F1,0.053572777076269174
4,L1.level,F1,0.6295200913592267
5,L1.slope,F1,0.6395851849189624
6,L2.F1,F1,-0.45843258631222145
7,L2.F2,F1,0.1825313341574779
8,L2.F3,F1,0.08583374010079235
9,L2.curvature,F1,0.07379770025443666
10,L2.level,F1,0.12100499047423541
11,L2.slope,F1,0.07757558042140318
12,const,F1,0.005046655985385221
13,L1.F1,F2,-0.5916855330043439
14,L1.F2,F2,-0.026488101786622087
15,L1.F3,F2,1.3645609531613418
16,L1.curvature,F2,0.04157061390135561
17,L1.level,F2,0.3186233319091165
18,L1.slope,F2,0.7965451370169571
19,L2.F1,F2,-0.8798311756919354
20,L2.F2,F2,0.2920419800391526
21,L2.F3,F2,0.4933333076751562
22,L2.curvature,F2,0.07478257471928709
23,L2.level,F2,-0.31453376723697324
24,L2.slope,F2,-0.31828879511350494
25,const,F2,0.013830275989947583
26,L1.F1,F3,-0.2952509828964308
27,L1.F2,F3,0.005900691430189162
28,L1.F3,F3,-0.22630084125400324
29,L1.curvature,F3,0.026555519058509128
30,L1.level,F3,-0.08926442130833884
31,L1.slope,F3,-0.2990972413951022
32,L2.F1,F3,-0.04129446951186278
33,L2.F2,F3,0.014726056058494127
34,L2.F3,F3,-0.25204533177077215
35,L2.curvature,F3,0.023632271445042166
36,L2.level,F3,0.04394812400457368
37,L2.slope,F3,0.09916850928668922
38,const,F3,-0.00993157995706542
39,L1.F1,curvature,-0.029719389671613458
40,L1.F2,curvature,0.029753912864545463
41,L1.F3,curvature,-0.1412171268972087
42,L1.curvature,curvature,0.05132962868248768
43,L1.level,curvature,0.12625944456280458
44,L1.slope,curvature,0.263386206901952
45,L2.F1,curvature,-0.09306172083438978
46,L2.F2,curvature,0.04164993344552781
47,L2.F3,curvature,-0.13692964756621437
48,L2.curvature,curvature,-0.15767902357167984
49,L2.level,curvature,-0.8009791859663999
50,L2.slope,curvature,-0.5206104905893945
51,const,curvature,-0.016888693640831273
52,L1.F1,level,-0.0042217080730949565
53,L1.F2,level,0.016479298677536364
54,L1.F3,level,0.07417885019419211
55,L1.curvature,level,0.002939745911541938
56,L1.level,level,-0.03147327371881979
57,L1.slope,level,-0.22383917260728484
58,L2.F1,level,0.0931884572546475
59,L2.F2,level,-0.025912840668943504
60,L2.F3,level,0.03925411731252298
61,L2.curvature,level,0.008305984309627475
62,L2.level,level,0.0910356362000363
63,L2.slope,level,0.1843938532931394
64,const,level,-0.004038401166325843
65,L1.F1,slope,0.06263375035544068
66,L1.F2,slope,-0.04536876184142961
67,L1.F3,slope,-0.09464142106714213
68,L1.curvature,slope,0.03230964158627363
69,L1.level,slope,0.222084310131345
70,L1.slope,slope,0.33221401595341854
71,L2.F1,slope,-0.029144256712733067
72,L2.F2,slope,-0.008701238819974838
73,L2.F3,slope,0.0021207670001014145
74,L2.curvature,slope,0.028447065561878593
75,L2.level,slope,0.06171416221082289
76,L2.slope,slope,-0.08071578769937948
77,const,slope,0.0030092167638146087
