tenor,nobs,rsq,adj_rsq,b_const,t_const,p_const,b_y_lag,t_y_lag,p_y_lag,b_inflation,t_inflation,p_inflation,b_output,t_output,p_output,b_fedfunds,t_fedfunds,p_fedfunds
10Y,488,0.990788,0.990712,0.021619,0.79904,0.42466,0.982396,115.256219,0.0,0.01505,4.472691,1e-05,-0.000822,-0.912725,0.361843,0.002969,0.397944,0.690847
1M,488,0.991839,0.991771,-0.004613,-0.229473,0.818598,0.975917,24.190351,0.0,0.011725,3.477754,0.000551,0.001441,1.618541,0.106199,0.012132,0.32645,0.744225
1Y,488,0.993702,0.99365,-0.037302,-2.11598,0.034858,1.129412,50.519372,0.0,0.013646,4.426785,1.2e-05,0.000994,1.203633,0.229321,-0.137943,-6.402471,0.0
20Y,488,0.991549,0.991479,0.033182,1.207686,0.227759,0.982819,137.798113,0.0,0.013543,4.366574,1.5e-05,-0.000964,-1.161077,0.246184,0.002589,0.43016,0.667271
2Y,488,0.992082,0.992016,-0.01993,-0.967345,0.333856,1.039691,61.326685,0.0,0.012922,3.74257,0.000204,0.000998,1.07926,0.281011,-0.052421,-3.212634,0.001403
30Y,488,0.989136,0.989046,0.064235,2.092356,0.036928,0.976165,126.628217,0.0,0.011972,3.456497,0.000596,-0.00073,-0.786844,0.431759,0.0047,0.731217,0.465001
3M,488,0.994265,0.994217,-0.051631,-3.061518,0.002325,1.207779,34.277856,0.0,0.015293,5.344025,0.0,0.001288,1.693722,0.090963,-0.205516,-6.22761,0.0
3Y,488,0.991255,0.991183,-0.007653,-0.33955,0.734343,1.00857,70.736732,0.0,0.013041,3.646467,0.000295,0.000791,0.825695,0.409385,-0.022605,-1.669211,0.095724
5Y,488,0.990677,0.990599,0.008395,0.338111,0.735427,0.988405,87.07909,0.0,0.013924,3.898954,0.00011,0.000169,0.176601,0.859896,-0.003477,-0.332618,0.739567
6M,488,0.994673,0.994629,-0.052689,-3.279753,0.001114,1.227324,42.776739,0.0,0.01495,5.349599,0.0,0.001036,1.386717,0.166168,-0.228158,-8.361961,0.0
7Y,488,0.99062,0.990543,0.016426,0.629982,0.529005,0.983477,100.442403,0.0,0.014677,4.208864,3.1e-05,-0.000364,-0.389427,0.697132,0.00137,0.155802,0.876254
