,pc,rank,feature,loading
0,PC1,1,fedfunds,0.32424995282179214
1,PC1,2,fedfunds_eff,0.3242415515545528
2,PC1,3,term_spread_10y2y,-0.2800102122285103
3,PC1,4,baa_spread,-0.277750062535814
4,PC1,5,unrate_prime,-0.2694199700897022
5,PC1,6,avg_hours,0.2684799430911126
6,PC1,7,mortgage_rate,0.2608160615221472
7,PC1,8,unemp_duration,-0.2533726348597421
8,PC1,9,unrate,-0.2502101380733008
9,PC1,10,inflation_core,0.2247631676409918
10,PC2,1,capacity_util,0.381642102871216
11,PC2,2,output,0.3467829413063368
12,PC2,3,payroll,0.3255194818751912
13,PC2,4,oil_price,0.2746593636334519
14,PC2,5,init_claims,-0.2689473572233684
15,PC2,6,ppi_all,0.2603679299995268
16,PC2,7,monetary_base,-0.2213049329162326
17,PC2,8,inflation,0.22071816916666492
18,PC2,9,unemp_duration,0.19238661750426558
19,PC2,10,permits,0.18918831526935195
20,PC3,1,unrate,0.4239629000770432
21,PC3,2,mortgage_rate,0.3904071369475711
22,PC3,3,unrate_prime,0.38244849654441326
23,PC3,4,term_spread_10y3m,0.3389460768996143
24,PC3,5,avg_hours,0.27795221914900714
25,PC3,6,term_spread_10y2y,0.25488326360109914
26,PC3,7,fedfunds,0.20539405530850233
27,PC3,8,fedfunds_eff,0.20537621343154766
28,PC3,9,unemp_duration,-0.18373152880917426
29,PC3,10,monetary_base,0.16292277875724337
